Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Smartcoin,Seed,2000000.0,Bangalore,Providing financial access to the millions of mobile users in india using alternative credit assessment,AI,2018,,Nan
Carmel organics,Series A,0.0,Indore,"Carmel organics is an india-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Agriculture,2018,,Nan
Roadcast,Seed,250000.0,New delhi,Transforming the way businesses deliver. work-force & fleet mobility tools.,Fintech,2018,,Nan
Printline media(theprint),Seed,509540.0,New delhi,A digital news platform.,Media and marketing,2018,,Nan
Creditas solutions,Seed,0.0,Gurgaon,Creditas was set-up in 2015 with an aim to help financial institutions find better ways to reach and interact with their customers.,Fintech,2018,,Nan
Urbanpiper,Seed,0.0,Bangalore,Urbanpiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Saas,2018,,Nan
Doxper,Seed,1051200.0,Mumbai,Doxper is health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Healthcare,2018,,Nan
I2ifunding,Seed,730000.0,Noida,I2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Fintech,2018,,Nan
Shakedeal,Seed,0.0,Bangalore,Home of b2b commerce,E-commerce,2018,,Nan
Helloverify,Seed,0.0,Noida,Helloverify is an online background check platform.,Finance,2018,,Nan
Fasal,Seed,120000.0,Bangalore,Climate smart precision agriculture platform,Agrictech,2018,,Nan
Coingeto,Seed,1752000.0,New delhi,Coingeto is one of india’s most advanced digital assets exchange.,Trading platform,2018,,Nan
Avail finance,Series A,17200000.0,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of india.,Fintech,2018,,Nan
Tripeur,Seed,600000.0,Bangalore,Radical travel automation - cloud based corporate travel & expense management software,Technology,2018,,Nan
Wedeterna,Seed,0.0,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, diy matrimonial community with only self created profiles.",Healthcare,2018,,Nan
Stumagz,Seed,0.0,Hyderabad,Stumagz is about connecting with stories stumagz is about collaborating with people stumagz is about creating a cult.,Digital media,2018,,Nan
Doubtnut,Seed,511000.0,Gurgaon,Gurgaon based e-learning platform.,Edtech,2018,,Nan
Mcaffeine,Seed,467200.0,Mumbai,Mcaffeine is india's first caffeine infuse personal care brand. it's an extension to the hyperactive lifestyle and individualistic identity.,E-commerce,2018,,Nan
Trustcheckr,Seed,100000.0,Bangalore,A bengaluru-based fraud analytics solution provider .,Technology,2018,,Nan
Healthassure,Seed,1000000.0,Mumbai,Healthassure provides access to discounted & high quality primary care medical network.,Healthcare,2018,,Nan
Picture time,Seed,3650000.0,New delhi,Operator of low-cost mobile cinema theatres in rural areas.,Digital media,2018,,Nan
1crowd,Seed,3500000.0,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising indian start-ups and early stage ventures,Finance,2018,,Nan
Aarav unmanned systems,Seed,0.0,Bangalore,Professional drones for enterprise applications,Spacetech,2018,,Nan
Wellthy therapeutics pvt ltd,Seed,1971000.0,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Healthcare,2018,,Nan
Nua,Seed,0.0,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,E-commerce,2018,,Nan
Kuvera.in,Seed,250000.0,Bangalore,An online platform for mutual fund investments.,Fintech,2018,,Nan
Livehealth,Seed,1100000.0,Pune,Livehealth is an end-to-end collaborative report management solution. we help you get your medical reports instantly from various health,Healthcare,2018,,Nan
Gramophone,Seed,1000000.0,Indore,An agricultural inputs startup company.,Agriculture,2018,,Nan
Ora,Seed,0.0,Kolkata,Ora is an online marketplace of unique accommodations. awarded as among top 3000 startups in india by iim kolkata.,Hospitality,2018,,Nan
Buddy4study.com,Series A,3000000.0,Noida,Buddy4study is the best scholarship search engine for indian students. it also helps organizations to set up their own scholarship schemes.,Edtech,2018,,Nan
Predible health,Seed,0.0,Bangalore,Healthcare devices for cancer detection,Healthcare,2018,,Nan
Syncremedies healthcare pvt ltd,Seed,0.0,Bangalore,"Syncremedies is an integrated medicine service that brings together allopathy, ayurveda and homeopathy to treat chronic ailments.",Healthcare,2018,,Nan
Blueleaf cyberspace systems,Seed,0.0,Bangalore,Bluleaf cyberspace is cloud based software company.,Saas,2018,,Nan
